row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN207_c4_g2,72.00873166,-9.779970933,2.92629357,-3.342101775,0.000831466,0.020405157,Hsp70 protein,Heat shock protein
TRINITY_DN1080_c3_g1,67.94915238,-9.696456247,2.917765425,-3.323247361,0.00088976,0.020405157,Hsp70 protein,Heat shock protein
TRINITY_DN1955_c0_g2,65.29924645,-9.638795209,3.489582231,-2.762163082,0.005741979,0.084430584,Hsp90 protein,Heat shock protein
TRINITY_DN879523_c0_g1,63.47815193,-9.597985974,3.489393542,-2.750617223,0.00594831,0.084430584,Hsp90 protein,Heat shock protein
TRINITY_DN713865_c0_g1,61.91721377,-9.562063664,3.489260667,-2.740426863,0.006135944,0.084430584,13-beta-glucan synthase component,13-beta-glucan synthase
TRINITY_DN1174_c0_g2,57.42470378,-9.453524779,2.907833537,-3.251054319,0.001149779,0.023266114,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN8629_c1_g3,56.4539302,-9.428786505,3.489053535,-2.702390895,0.006884277,0.089270477,Hsp70 protein,Heat shock protein
TRINITY_DN5729_c0_g1,54.77520102,-9.385611421,3.131380108,-2.997276312,0.002724037,0.046853434,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN34378_c0_g1,52.55158479,-9.325437155,3.489223794,-2.672639448,0.007525709,0.089270477,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN3381_c0_g1,51.0061871,-9.282782652,3.05121737,-3.04232099,0.002347614,0.04250417,Heat shock protein 9/12,Heat shock protein
TRINITY_DN5386_c2_g1,50.96900271,-9.28171139,2.981297497,-3.11331271,0.001849999,0.035355534,Heat shock protein 9/12,Heat shock protein
TRINITY_DN5943_c0_g1,49.68986483,-9.244646655,3.489573834,-2.649219387,0.008067794,0.09096593,Hsp70 protein,Heat shock protein
TRINITY_DN38017_c0_g1,48.43304281,-9.208032987,3.482845579,-2.643824648,0.008197511,0.09096593,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN2160_c0_g1,244.1914929,-9.151058736,3.217422044,-2.844220811,0.004452018,0.0729283,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN55012_c0_g1,42.40787959,-9.016401409,3.484711224,-2.5874171,0.009669846,0.097685577,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN7618_c0_g2,41.4809314,-8.984522229,3.485146942,-2.577946462,0.00993894,0.097685577,Stress-induced bacterial acidophilic repeat motif,Stress
TRINITY_DN88882_c0_g1,40.84454858,-8.961806841,3.492474702,-2.566033431,0.010286891,0.098296961,Hsp70 protein,Heat shock protein
TRINITY_DN31824_c1_g1,36.94220317,-8.816914139,3.495097378,-2.522651928,0.011647362,0.10636438,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN4458_c12_g1,36.68204681,-8.806716945,3.495313988,-2.519578206,0.011749554,0.10636438,Hsp90 protein,Heat shock protein
TRINITY_DN28253_c0_g1,29.39766872,-8.487294423,3.504477504,-2.421843031,0.015442019,NA,Hsp90 protein,Heat shock protein
TRINITY_DN690442_c0_g1,29.08067373,-8.471608276,3.173856624,-2.669184302,0.007603572,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN7446_c0_g1,27.40605832,-8.386031658,3.095534219,-2.709074126,0.006747126,NA,Hsp70 protein,Heat shock protein
TRINITY_DN566591_c0_g1,26.79610512,-8.353591778,3.509833204,-2.380053778,0.017310112,NA,Stress-induced bacterial acidophilic repeat motif,Stress
TRINITY_DN485541_c0_g1,26.01563604,-8.310938868,3.511752183,-2.366607447,0.017951963,NA,Stress-induced bacterial acidophilic repeat motif,Stress
TRINITY_DN35861_c0_g2,24.9750106,-8.252033297,3.514578667,-2.34794383,0.018877368,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1460036_c0_g1,24.45469787,-8.221653358,3.516118673,-2.338275275,0.019372973,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN15115_c0_g1,23.67422879,-8.174849214,3.518604141,-2.32332166,0.020161879,NA,Hsp70 protein,Heat shock protein
TRINITY_DN351352_c0_g1,22.7102306,-8.115589633,3.514876696,-2.308925842,0.020947697,NA,Stress-induced bacterial acidophilic repeat motif,Stress
TRINITY_DN1955_c0_g1,176.9950679,-8.101324038,2.921891592,-2.772629916,0.005560532,0.084430584,Hsp90 protein,Heat shock protein
TRINITY_DN10478_c0_g1,21.85313427,-8.059346186,3.525348872,-2.286113085,0.022247644,NA,Hsp70 protein,Heat shock protein
TRINITY_DN898327_c0_g1,20.55235247,-7.970788403,3.531142237,-2.2572833,0.023990378,NA,Hsp90 protein,Heat shock protein
TRINITY_DN347341_c0_g1,19.25157067,-7.876437266,3.537948058,-2.226272725,0.025995919,NA,Hsp20/alpha crystallin family,Heat shock protein
