row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN100125_c0_g1,28.18463092,-7.013537743,3.189856252,-2.198700251,0.027899243,0.139462498,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100125_c0_g3,3.778292447,-5.63077936,3.793431574,-1.48434979,0.137716148,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100141_c0_g1,0.768415786,2.851381911,4.843184539,0.588741124,0.556034946,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100141_c1_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100152_c0_g1,4.715466892,1.475154849,3.027077745,0.487319776,0.626031735,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100182_c0_g1,9.193280122,0.103053774,2.382462244,0.043255155,0.965498139,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100227_c0_g1,1.524074275,0.012604078,4.05036911,0.003111834,0.997517119,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN1002284_c0_g1,0.768415786,2.851381911,4.843184539,0.588741124,0.556034946,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100261_c0_g1,0,NA,NA,NA,NA,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1003186_c0_g1,2.743023687,1.368191496,3.201214499,0.427397632,0.669089732,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1003564_c0_g1,0.450533625,2.065463958,4.885055026,0.422812834,0.672431823,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10040_c0_g1,23.74418041,-2.594092212,2.235460847,-1.160428381,0.245874437,NA,Hsp70 protein,Heat shock protein
TRINITY_DN10040_c1_g2,5.615692491,-1.805644676,2.528708439,-0.714058073,0.47519127,NA,Hsp70 protein,Heat shock protein
TRINITY_DN10044_c0_g1,158.8642381,-1.629192813,2.188136348,-0.744557264,0.456539411,0.728281933,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10044_c0_g2,11.98748465,-1.224210223,2.280604121,-0.536792077,0.591411245,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100449_c0_g1,1.603157304,3.908394101,4.000236222,0.977040825,0.328548941,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100449_c1_g3,12.71836775,4.374920595,2.712395023,1.612936375,0.106758332,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100464_c0_g1,9.029960223,-0.279297341,2.351464866,-0.118775894,0.905452908,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100472_c0_g1,3.925759066,3.525819659,3.139566274,1.123027626,0.261425762,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100493_c0_g1,0,NA,NA,NA,NA,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1005178_c0_g1,3.655058091,-3.062916689,3.05278489,-1.003318871,0.315707034,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1005594_c0_g1,0.560503376,-0.550280437,4.960558286,-0.11093115,0.911670944,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10060_c0_g1,66.07955656,1.898142573,2.25410331,0.84208322,0.399741373,0.686433715,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10060_c0_g2,9.547290784,3.773911478,2.757372706,1.368662086,0.171104927,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10060_c1_g2,16.31607816,4.333417709,3.079500196,1.407182151,0.159373383,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1006383_c0_g1,1.344727626,3.656548957,4.661782548,0.784367121,0.432824725,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10069_c0_g1,14.24146564,3.752708112,2.650388669,1.415908601,0.156802266,NA,Hsp90 protein,Heat shock protein
TRINITY_DN100708_c0_g1,3.947051106,1.112892696,3.087799614,0.360416101,0.718535988,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1007183_c0_g1,4.243641226,3.648132356,3.155306933,1.156189377,0.247603704,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN1007593_c0_g1,21.83443973,-3.2162204,2.563275867,-1.254730496,0.209576611,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN1008000_c0_g1,4.311071716,0.067868977,2.676643812,0.025355999,0.979771008,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10084_c0_g1,21.95846271,0.48462573,2.181356032,0.222167185,0.824183738,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1008723_c0_g1,0.251886163,-1.867510431,4.987187471,-0.374461646,0.708060886,NA,Universal stress protein family,Stress
TRINITY_DN100907_c1_g1,1.63010639,1.126561102,4.020391321,0.280211803,0.779315012,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1009580_c0_g1,1.340946255,-4.121689205,4.673490806,-0.881929456,0.377814957,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1009709_c0_g1,5.368915351,0.945885177,2.61347252,0.361926582,0.717406895,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1009919_c0_g1,2.359145529,0.400520169,3.673985834,0.109015164,0.913190463,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1010526_c0_g1,0.834741518,2.964512851,4.807218373,0.616679464,0.537446169,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN1010616_c0_g1,3.035391254,-1.559700916,3.497137753,-0.44599356,0.655601898,NA,Viral heat shock protein Hsp90 homologue,Heat shock protein
TRINITY_DN101074_c0_g1,2.120016662,4.308575006,3.736497826,1.153105182,0.248867215,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1011445_c0_g1,1.218949411,3.512473442,4.291129064,0.81854295,0.413047228,NA,Stress responsive A/B Barrel Domain,Stress
TRINITY_DN1011577_c0_g1,0.384207893,1.856640133,4.900485947,0.378868576,0.70478546,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1011805_c0_g1,3.238417536,0.207406499,3.121589426,0.066442594,0.94702546,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN101186_c0_g1,23.88604597,3.071669077,2.788804498,1.101428615,0.270710157,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101186_c2_g1,11.03274651,3.984491259,3.161406473,1.260353989,0.207541692,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101186_c3_g1,6.559356919,4.489201375,3.371180931,1.331640593,0.182978319,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101207_c0_g1,1.536831572,3.848987682,4.508355437,0.853745392,0.393246077,NA,Hsp70 protein,Heat shock protein
