row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN1000069_c0_g1,7.724568231,6.684301042,3.988629999,1.675838833,0.093769765,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100053_c0_g1,6.091649393,4.777561753,3.754363585,1.272535716,0.203182842,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100074_c0_g2,2.728005951,2.382882324,3.95914576,0.601867794,0.547262144,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100103_c0_g1,2.471861834,5.041144017,4.446194264,1.133811012,0.256873831,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100103_c0_g2,4.32575821,5.848107788,4.155108157,1.407450196,0.159293936,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100167_c0_g1,1.988797836,-4.086431485,4.622112065,-0.884104805,0.37663964,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1002527_c0_g1,1.235930917,4.041905183,4.840256313,0.835060154,0.40368384,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1002663_c0_g1,10.50541279,7.127785748,3.93659913,1.810645563,0.070195734,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100344_c0_g1,7.526263105,0.936703796,3.16444994,0.29600841,0.767223659,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1004169_c0_g1,3.592365662,5.578376554,4.237782319,1.316343345,0.188058829,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN1004561_c0_g1,0,NA,NA,NA,NA,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN1005102_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1005712_c0_g1,1.235930917,4.041905183,4.840256313,0.835060154,0.40368384,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1006238_c0_g1,2.729088867,1.924502526,3.930937093,0.489578561,0.62443215,NA,Universal stress protein family,Stress
TRINITY_DN100648_c0_g1,2.162879105,4.848603536,4.540435457,1.067871922,0.28557829,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1006757_c0_g1,1.630138841,-2.071685829,4.395848637,-0.471282339,0.637439126,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100691_c0_g1,1.818875429,-2.263913136,4.310668116,-0.525188457,0.599452189,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100719_c1_g1,5.028948863,1.484450634,3.664104997,0.405133214,0.685379593,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100719_c1_g2,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1009386_c0_g1,0,NA,NA,NA,NA,NA,Universal stress protein family,Stress
TRINITY_DN1009684_c0_g1,3.724527501,1.553427907,3.769806901,0.412070949,0.680287421,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101164_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN10121_c1_g2,3.158488726,-0.574678457,3.475584844,-0.165347268,0.868670657,NA,ATP-dependent RNA helicase RhlB,RNA helicase
TRINITY_DN101211_c0_g1,5.584211222,-5.577367888,3.615577098,-1.542594097,0.122929291,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1014277_c0_g1,0,NA,NA,NA,NA,NA,Universal stress protein family,Stress
TRINITY_DN101453_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101455_c0_g1,1.325865224,-3.50056769,4.818303954,-0.7265145,0.467523421,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101494_c0_g1,1.751246201,2.967521527,3.946266192,0.751982097,0.452061825,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1015347_c0_g1,7.478365639,-2.331818179,3.112722352,-0.749125015,0.453781859,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1016536_c0_g1,5.225259145,6.119176843,4.092623437,1.495172213,0.134869503,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1017308_c0_g1,0,NA,NA,NA,NA,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN101804_c0_g1,0,NA,NA,NA,NA,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN101850_c0_g1,36.25023532,8.914134978,3.87012225,2.303321291,0.021260773,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1019268_c0_g1,0.806702046,1.633531616,4.889153025,0.334113416,0.738293977,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1019319_c0_g1,4.245523055,5.819493774,4.165587081,1.39704048,0.162401399,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN101995_c1_g1,34.84190362,1.349949604,3.523101685,0.383170775,0.701593145,NA,RNA helicase (UPF2 interacting domain),RNA helicase
TRINITY_DN101995_c1_g3,1.544913646,4.363451914,4.829215221,0.903553003,0.366232471,NA,RNA helicase (UPF2 interacting domain),RNA helicase
