row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN66019_c0_g1,113.060051,-23.7903463,3.719613141,-6.395919522,1.60E-10,4.65E-07,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN20609_c0_g1,170.8692578,-11.24329304,3.186876958,-3.527997218,0.000418717,0.609441949,Cu-oxidase_3,Multicopper oxidase
TRINITY_DN22000_c0_g1,47.30393732,-9.39044768,3.163927683,-2.967971655,0.00299772,0.962938997,Metallothio_Euk,Eukaryotic metallothionein
TRINITY_DN41989_c0_g1,112.2715734,9.904794975,3.361813338,2.946265595,0.003216361,0.962938997,Metallothi_Euk2,Eukaryotic metallothionein
TRINITY_DN31566_c0_g1,33.52798018,-8.893859078,3.158039692,-2.816259434,0.004858641,0.962938997,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN113761_c0_g1,30.71705228,-8.767513616,3.234619723,-2.710523761,0.006717704,0.962938997,Peptidase_M18,Aminopeptidase I zinc metalloprotease (M18)
TRINITY_DN1614677_c0_g1,33.61468168,-8.897560502,3.28363609,-2.709667045,0.006735078,0.962938997,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN83835_c0_g1,25.92034009,-8.522553714,3.253807349,-2.619255783,0.008812184,0.962938997,Lactamase_B,Metallo-beta-lactamase superfamily
TRINITY_DN85393_c0_g1,23.33922449,-8.371233226,3.213700786,-2.604857696,0.009191243,0.962938997,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN66953_c0_g1,146.2814402,-6.473711721,2.491388192,-2.598435579,0.009364962,0.962938997,Aspzincin_M35,Lysine-specific metallo-endopeptidase
TRINITY_DN33757_c0_g1,141.2282361,-8.794177836,3.406826831,-2.581339843,0.009841765,0.962938997,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN34856_c0_g1,102.0919662,-8.806098731,3.469869346,-2.537876172,0.011152744,0.962938997,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN111409_c0_g2,43.87882997,-9.28196596,3.692825148,-2.513513526,0.011953519,0.962938997,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN70643_c2_g1,16.61327245,-7.880813019,3.224583615,-2.443978498,0.014526292,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN137284_c0_g1,27.06703149,7.851238217,3.222297214,2.436534465,0.014828756,0.962938997,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN34153_c0_g1,55.78338475,-6.903807205,2.843808665,-2.427662343,0.015196484,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN50605_c0_g2,33.95004363,-8.91185527,3.690899842,-2.414548118,0.015754742,0.962938997,PAGK,Phage-encoded virulence factor
TRINITY_DN1031992_c0_g1,15.67127031,-7.796581227,3.265504041,-2.387558285,0.016960713,0.962938997,DOPA_dioxygen,Dopa 45-dioxygenase family
TRINITY_DN325546_c0_g1,17.28776598,-7.93820016,3.339070409,-2.377368305,0.017436668,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN313471_c0_g1,14.04723538,-7.638769362,3.23070297,-2.364429486,0.018057865,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN6403_c0_g2,24.91396401,7.731472525,3.280551647,2.356759886,0.018435163,0.962938997,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN4210_c0_g1,102.3710007,8.329843541,3.54067187,2.352616635,0.018641842,0.962938997,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN1251815_c0_g1,49.11397716,-6.716432702,2.888186044,-2.325484785,0.020046053,0.962938997,Ntox46,Bacterial toxin 46
TRINITY_DN35261_c3_g1,13.43305593,-7.574238586,3.286617695,-2.304569405,0.021190701,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN153329_c0_g1,24.02125728,-8.412750942,3.694328128,-2.277207289,0.02277385,0.962938997,Ntox37,Bacterial toxin 37
TRINITY_DN966135_c0_g1,24.33529106,7.697553973,3.429025796,2.244822416,0.024779535,0.962938997,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN1788261_c0_g1,21.45898984,-8.2500196,3.697345005,-2.231336158,0.02565887,0.962938997,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN19473_c0_g1,19.08887206,7.349835488,3.322215722,2.212329392,0.026943914,0.962938997,YhfC,YhfC intramembrane metalloprotease
TRINITY_DN1636951_c0_g1,10.23776088,-7.182328822,3.345242994,-2.147027536,0.03179109,0.962938997,Metallothio_6,Metallothionein
TRINITY_DN85730_c0_g1,10.56181395,-7.227281113,3.370311516,-2.144395579,0.032001204,0.962938997,Cu-oxidase_3,Multicopper oxidase
TRINITY_DN9043_c0_g1,13.47735596,6.846010451,3.213786959,2.130200458,0.033155067,0.962938997,AAA_21,AAA domain putative AbiEii toxin Type IV TA system
TRINITY_DN1669707_c0_g1,9.273140963,-7.039562251,3.336461538,-2.109888626,0.03486795,0.962938997,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN576_c3_g1,26.40682416,7.817405496,3.707287436,2.108659129,0.034974015,0.962938997,STb_secrete,Heat-stable enterotoxin B secretory
TRINITY_DN287742_c0_g1,15.69388809,-7.798631857,3.712020507,-2.100912924,0.035648611,0.962938997,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN467012_c0_g1,26.84371575,7.8393521,3.734154368,2.099364763,0.035784758,0.962938997,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN20608_c0_g1,9.276910593,-7.040139797,3.355799737,-2.097902243,0.035913782,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN4626_c0_g1,78.06426017,-5.786891691,2.765678944,-2.092394601,0.036403231,0.962938997,Conotoxin,Conotoxin
TRINITY_DN1006306_c0_g1,8.952857532,-6.98885114,3.340973843,-2.091860478,0.036450998,0.962938997,Peptidase_M32,Carboxypeptidase Taq (M32) metallopeptidase
TRINITY_DN274300_c0_g1,8.952857532,-6.98885114,3.340973843,-2.091860478,0.036450998,0.962938997,Cu-oxidase_2,Multicopper oxidase
TRINITY_DN47105_c0_g1,25.39270409,7.759134484,3.735040087,2.077389882,0.037765589,0.962938997,Omega-toxin,Omega-atracotoxin
TRINITY_DN105676_c0_g1,8.632574102,-6.936292471,3.345907052,-2.073067889,0.038165962,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN36911_c3_g3,16.54613319,-6.245698807,3.030371893,-2.06103377,0.039299818,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN438565_c0_g1,22.76450359,7.603421041,3.710220936,2.049317594,0.040431069,0.962938997,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN93036_c0_g1,12.31628195,6.718041774,3.28451386,2.045368679,0.040818524,0.962938997,nec1,Virulence protein nec1
TRINITY_DN280474_c1_g1,13.77218751,-7.61018164,3.721434699,-2.04495907,0.040858893,0.962938997,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN36911_c0_g1,7.65287566,-6.762566835,3.322584644,-2.035333199,0.041817358,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN144986_c0_g1,21.55039673,7.524406721,3.711745363,2.027188286,0.042643161,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN1283183_c0_g1,22.00701021,7.552550519,3.738386592,2.020270064,0.043355382,0.962938997,T4SS_CagC,Cag pathogenicity island type IV secretory system
TRINITY_DN780055_c0_g2,12.97706581,-7.524532652,3.725755768,-2.019599008,0.043424998,0.962938997,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN4235_c0_g1,47.14200658,5.167411919,2.569302942,2.011211615,0.044303109,0.962938997,DOPA_dioxygen,Dopa 45-dioxygenase family
TRINITY_DN61429_c0_g1,40.99286317,6.992959793,3.486839932,2.005529342,0.044906487,0.962938997,Cu-oxidase,Multicopper oxidase
TRINITY_DN58871_c0_g1,7.306204818,-6.695794012,3.340799728,-2.00424885,0.04504341,0.962938997,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN167609_c0_g1,7.679263071,-6.767441498,3.411224545,-1.983874532,0.047269829,0.962938997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN104056_c0_g1,10.36680831,6.468682761,3.262580857,1.982688873,0.047402193,0.962938997,Ntox15,Novel toxin 15
TRINITY_DN645272_c0_g1,11.85048693,-7.393363127,3.735154857,-1.979399358,0.047771061,0.962938997,Aspzincin_M35,Lysine-specific metallo-endopeptidase
TRINITY_DN1033199_c0_g1,19.58865744,7.384483526,3.742366528,1.973212263,0.048471384,0.962938997,Metallothi_Euk2,Eukaryotic metallothionein
TRINITY_DN394943_c0_g1,6.680716478,-6.566635889,3.351762716,-1.959158939,0.050094176,0.962938997,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN90005_c2_g1,6.669407587,-6.564242703,3.366258916,-1.950011234,0.05117478,0.962938997,Metallophos,Calcineurin-like phosphoesterase
