row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN33757_c0_g1,113.2871929,-23.9838468,3.570801448,-6.716656512,1.86E-11,3.48E-09,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN1823270_c0_g1,129.626303,22.92259682,3.615356437,6.340342154,2.29E-10,1.32E-08,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN7519_c0_g1,120.1592135,22.85697927,3.61228638,6.327565663,2.49E-10,1.32E-08,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN963324_c0_g1,103.6524933,22.65802965,3.60653927,6.282485218,3.33E-10,1.32E-08,Cu-oxidase_3,Multicopper oxidase
TRINITY_DN5270_c0_g1,93.93478267,22.46208908,3.580626623,6.273228527,3.54E-10,1.32E-08,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN436638_c0_g1,82.2908553,22.10150543,3.598201175,6.142376245,8.13E-10,2.53E-08,Conotoxin,Conotoxin
TRINITY_DN5149_c0_g2,391.1945266,8.949286209,2.735171546,3.271928674,0.001068165,0.02853527,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN1879_c0_g2,385.2203745,8.929004325,2.82657645,3.158946692,0.001583405,0.03701208,Enterotoxin_HS1,Heat stable E.coli enterotoxin 1
TRINITY_DN206_c0_g1,954.0449309,9.197029358,2.971060475,3.095537582,0.001964565,0.04081929,Peptidase_M36,Fungalysin metallopeptidase (M36)
TRINITY_DN216128_c0_g1,78.00096922,7.988688114,2.805253596,2.847759692,0.004402816,0.077935997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN4387_c2_g1,38.73533076,8.501362205,2.998857049,2.834867439,0.00458447,0.077935997,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN156234_c0_g2,44.46359064,8.701215645,3.118589862,2.790112208,0.005268978,0.082108236,Reprolysin_3,Metallo-peptidase family M12B Reprolysin-like
TRINITY_DN1614677_c0_g1,27.31552711,-8.538245982,3.148180889,-2.712120517,0.006685428,0.095545142,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN416049_c0_g1,39.63065767,8.535288482,3.17340532,2.689630735,0.007153112,0.095545142,MafB,Neisseria toxin MafB
TRINITY_DN1587001_c0_g1,37.33556413,8.449252492,3.222246703,2.622161886,0.008737392,0.10892615,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN111409_c0_g2,35.27351234,-8.906756092,3.539978551,-2.516048039,0.011867901,0.135088704,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN38753_c0_g1,21.35572517,7.641749094,3.061195117,2.496328657,0.012548628,0.135088704,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN1008324_c0_g1,19.25940801,7.493620103,3.038051189,2.466587835,0.013640727,NA,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN49681_c0_g1,45.73357195,8.741677325,3.560359475,2.455279414,0.014077512,0.135088704,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN40606_c0_g1,21.31554525,7.63872848,3.11163968,2.454888504,0.014092829,0.135088704,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN81237_c1_g3,22.44345887,7.715475507,3.188865447,2.419504878,0.015541652,0.135088704,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN50605_c0_g2,27.29191466,-8.536817222,3.540596644,-2.41112391,0.015903444,0.135088704,PAGK,Phage-encoded virulence factor
TRINITY_DN122061_c3_g2,21.87169448,7.678273443,3.219094615,2.385227637,0.017068556,0.135088704,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN794616_c0_g1,39.32483351,8.522825862,3.5813036,2.379811045,0.017321518,0.135088704,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN6403_c0_g2,18.71554116,7.45085989,3.138969499,2.373664316,0.017612554,NA,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN4210_c0_g1,37.96821642,6.938841007,2.944688847,2.35639192,0.018453437,0.135088704,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN95525_c0_g1,35.20497985,8.364354092,3.557430696,2.351234587,0.018711233,0.135088704,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN102333_c0_g2,16.40270926,7.263140516,3.098712928,2.343921714,0.019082176,NA,Cu-oxidase_3,Multicopper oxidase
TRINITY_DN1410435_c0_g1,35.19815345,8.362821614,3.58055163,2.335623803,0.019510857,0.135088704,UstYa,Mycotoxin biosynthesis protein UstYa
