row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN100125_c0_g1,29.29855051,-8.61067458,3.239497572,-2.658027793,0.007859941,0.114145115,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100125_c0_g3,3.959263582,-5.726841648,3.756256452,-1.524614126,0.127355372,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100141_c0_g1,0.80043696,2.866460929,4.839765497,0.59227269,0.553668001,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100141_c1_g1,1.200655439,3.450994343,4.821503032,0.715750736,0.474145277,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100152_c0_g1,1.877678741,-1.078377477,3.596837378,-0.299812687,0.764320038,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100182_c0_g1,13.65593251,1.027636484,2.212677172,0.464431277,0.642338786,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100227_c0_g1,2.607926778,1.173891951,3.270704564,0.358911032,0.719661646,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN1002284_c0_g1,3.001638599,4.772604809,3.970873895,1.20190289,0.229401155,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100261_c0_g1,1.200655439,3.450994343,4.821503032,0.715750736,0.474145277,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1003186_c0_g1,1.799944367,0.329035206,3.623536357,0.090804996,0.92764754,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1003564_c0_g1,0,NA,NA,NA,NA,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10040_c0_g1,37.43391717,-0.326126336,2.018126154,-0.161598588,0.87162197,0.982743316,Hsp70 protein,Heat shock protein
TRINITY_DN10040_c1_g2,8.596250332,-0.151871499,2.292104268,-0.066258547,0.947171985,NA,Hsp70 protein,Heat shock protein
TRINITY_DN10044_c0_g1,138.5864814,-2.861118567,1.996118733,-1.433340873,0.151760447,0.550981025,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10044_c0_g2,8.857127737,-5.415207794,2.813227099,-1.92490958,0.054240671,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100449_c0_g1,8.42722443,6.261695452,3.082901623,2.03110453,0.042244392,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100449_c1_g3,1.617388046,0.75917622,3.425879362,0.221600395,0.824624975,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100464_c0_g1,16.02329348,1.108262957,2.193576966,0.505230942,0.61339664,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100472_c0_g1,5.340531037,3.969762876,3.380276686,1.174389923,0.24023888,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100493_c0_g1,3.601966318,5.035587592,3.839964201,1.311363161,0.189735099,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1005178_c0_g1,4.592482907,-1.425865289,2.887249087,-0.493849074,0.621412772,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1005594_c0_g1,3.75474802,3.42635571,3.200799405,1.070468741,0.284408372,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10060_c0_g1,25.69065535,-0.292581546,2.166778317,-0.135030678,0.892587619,0.986781524,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10060_c0_g2,5.753785588,2.949245302,2.806220075,1.050967217,0.293273647,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10060_c1_g2,5.34516502,2.493148187,2.896769854,0.860664917,0.389422621,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1006383_c0_g1,1.038273456,3.239477366,4.827283133,0.671076727,0.502171652,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10069_c0_g1,11.69826229,3.429662651,2.564021223,1.337610867,0.18102332,NA,Hsp90 protein,Heat shock protein
TRINITY_DN100708_c0_g1,1.885224193,-1.060531719,3.288970841,-0.322450934,0.747111103,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1007183_c0_g1,1.168418803,1.347762524,4.6227756,0.291548334,0.770631983,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN1007593_c0_g1,27.09133441,-1.62315761,2.130516331,-0.761861144,0.446142883,0.824945033,Trehalose-phosphatase,Trehalose
TRINITY_DN1008000_c0_g1,3.839148455,-0.412465847,2.789677512,-0.147854311,0.882457746,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10084_c0_g1,13.39431035,-1.261832323,2.559280663,-0.493041791,0.621983059,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1008723_c0_g1,9.268866702,4.957799172,3.217434279,1.540916999,0.123336988,NA,Universal stress protein family,Stress
TRINITY_DN100907_c1_g1,8.834089459,3.93816732,3.117224934,1.263356801,0.206460982,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1009580_c0_g1,1.766509537,-1.694696156,4.048445967,-0.418604119,0.675505479,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1009709_c0_g1,4.533340244,0.50574839,2.5820604,0.195870085,0.844711852,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1009919_c0_g1,2.879423135,0.769069973,3.168521635,0.24272202,0.808220748,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1010526_c0_g1,0.415309382,1.916196412,4.890507109,0.391819574,0.695191531,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN1010616_c0_g1,2.375558149,-4.991313916,4.15216963,-1.202097785,0.229325644,NA,Viral heat shock protein Hsp90 homologue,Heat shock protein
TRINITY_DN101074_c0_g1,0,NA,NA,NA,NA,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1011445_c0_g1,0,NA,NA,NA,NA,NA,Stress responsive A/B Barrel Domain,Stress
TRINITY_DN1011577_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1011805_c0_g1,4.788322473,1.081888453,2.562847428,0.422143137,0.672920543,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN101186_c0_g1,3.47012782,-1.677489184,3.432407326,-0.488720896,0.625039308,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101186_c2_g1,1.921528225,0.90238535,3.956868866,0.22805541,0.819603165,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101186_c3_g1,1.287133459,1.823874836,4.051036623,0.450224228,0.652548768,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101207_c0_g1,1.800983159,4.035780463,4.460985033,0.904683704,0.365632977,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101231_c1_g1,9.429513268,0.655826465,2.328343356,0.281670856,0.778195904,NA,Hsp70 protein,Heat shock protein
