row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN1341961_c0_g1,112.0594205,-23.54015608,3.736940142,-6.299313125,2.99E-10,4.21E-07,PAGK,Phage-encoded virulence factor
TRINITY_DN1324060_c0_g1,88.33417455,-23.22001062,3.728809123,-6.227192076,4.75E-10,4.21E-07,PAGK,Phage-encoded virulence factor
TRINITY_DN533716_c0_g1,132.7360424,-10.38408662,3.213460402,-3.231434441,0.001231706,0.590606367,Toxin_22,Magi peptide toxin family
TRINITY_DN4475_c0_g3,88.85444789,10.1859604,3.174285645,3.208898486,0.001332445,0.590606367,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN2076_c0_g1,126.7983656,-10.31805494,3.292309747,-3.133986696,0.001724487,0.611503001,PAGK,Phage-encoded virulence factor
TRINITY_DN44345_c0_g1,64.13120141,9.715504691,3.253033197,2.986598692,0.002820998,0.833604812,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN104820_c1_g1,34.03305107,8.801346782,3.223766215,2.730144246,0.006330662,0.908093125,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN19085_c0_g1,29.36500852,8.588468915,3.264630791,2.6307627,0.00851935,0.908093125,RnlA_toxin_N,RNase LS bacterial toxin N-terminal
TRINITY_DN2726_c0_g2,61.19016108,7.21958157,2.877534922,2.508946639,0.012109178,0.908093125,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN193057_c0_g1,18.24376942,7.90207484,3.183267537,2.482378484,0.013050857,0.908093125,Peptidase_M36,Fungalysin metallopeptidase (M36)
TRINITY_DN49517_c0_g1,17.82949796,7.868692221,3.199775674,2.45913871,0.01392708,0.908093125,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN11899_c0_g1,37.10431159,8.926300863,3.694149137,2.416334732,0.015677641,0.908093125,Metallopep,Putative peptidase family
TRINITY_DN929082_c0_g1,48.29000865,-8.925371406,3.712102415,-2.404397942,0.016199129,0.908093125,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN773311_c0_g1,18.83009447,-7.566717366,3.177489943,-2.381350532,0.017249289,0.908093125,Peptidase_M29,Thermophilic metalloprotease (M29)
TRINITY_DN20889_c0_g1,32.4338388,8.732237912,3.694531426,2.363557622,0.018100412,0.908093125,Metallophos,Calcineurin-like phosphoesterase
