row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN100125_c0_g1,34.53800081,-4.790052618,3.099057969,-1.545647957,0.122189612,0.388162691,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100125_c0_g3,4.507015977,-6.013004858,3.815500897,-1.575941146,0.115039367,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100141_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100141_c1_g1,2.675096454,4.527644302,4.143469045,1.092718264,0.274517518,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100152_c0_g1,2.742217913,0.17042595,3.355616777,0.050788264,0.959494243,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100182_c0_g1,8.928644241,-0.020453212,2.470350247,-0.008279479,0.993394007,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100227_c0_g1,2.603737303,0.898388914,3.727230707,0.24103389,0.809528851,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN1002284_c0_g1,0,NA,NA,NA,NA,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100261_c0_g1,3.558247725,4.95213599,3.940295323,1.256793104,0.208828564,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1003186_c0_g1,1.144593782,-1.993559682,4.556705752,-0.437500201,0.66174863,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1003564_c0_g1,0.593041287,2.382526268,4.854700744,0.490766866,0.623591348,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10040_c0_g1,36.77640447,-0.488212373,2.292419807,-0.212968136,0.831351816,0.929491827,Hsp70 protein,Heat shock protein
TRINITY_DN10040_c1_g2,16.37449146,1.218888695,2.33008678,0.523108712,0.600898603,NA,Hsp70 protein,Heat shock protein
TRINITY_DN10044_c0_g1,154.3558394,-1.905702785,2.268335135,-0.840132816,0.400833922,0.683830094,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10044_c0_g2,10.61905307,-2.771970623,2.727708038,-1.016227024,0.30952129,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100449_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100449_c1_g3,2.330337392,1.424469582,3.52567528,0.404027447,0.686192536,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100464_c0_g1,10.79839607,0.046293143,2.445136605,0.018932743,0.984894759,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100472_c0_g1,0.327535553,-2.211772924,4.989993849,-0.443241613,0.657590982,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100493_c0_g1,0,NA,NA,NA,NA,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1005178_c0_g1,3.46755198,-5.633045344,3.50213766,-1.608459144,0.107734657,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1005594_c0_g1,0.327535553,-2.211772924,4.989993849,-0.443241613,0.657590982,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10060_c0_g1,51.99730905,1.447906391,2.310500113,0.626663631,0.530879748,0.758644183,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10060_c0_g2,14.03055338,4.360422277,3.245242081,1.343635442,0.179066303,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10060_c1_g2,2.360546716,0.674613621,3.792487575,0.177881564,0.85881599,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1006383_c0_g1,0,NA,NA,NA,NA,NA,Hsp90 protein,Heat shock protein
TRINITY_DN10069_c0_g1,7.382351671,2.710265269,2.845025632,0.952632988,0.340776057,NA,Hsp90 protein,Heat shock protein
TRINITY_DN100708_c0_g1,5.630634595,1.760617578,2.66752888,0.660018188,0.509242158,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1007183_c0_g1,0.327535553,-2.211772924,4.989993849,-0.443241613,0.657590982,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN1007593_c0_g1,22.61042015,-6.721888796,2.820296137,-2.383398221,0.017153627,NA,Trehalose-phosphatase,Trehalose
