row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN703318_c0_g1,3552.365812,28.11129911,4.139043116,6.791738652,1.11E-11,2.14E-08,Cu-oxidase,Multicopper oxidase
TRINITY_DN573_c0_g1,2080.39405,27.0559407,4.113625948,6.57715141,4.80E-11,4.63E-08,Cu-oxidase,Multicopper oxidase
TRINITY_DN11899_c0_g1,96.80066951,23.14356259,3.97269953,5.825651403,5.69E-09,2.38E-06,Metallopep,Putative peptidase family
TRINITY_DN81820_c0_g1,91.33170513,23.06136244,3.970569291,5.808074548,6.32E-09,2.38E-06,Toxin-deaminase,The BURPS668_1122 family of deaminases
TRINITY_DN13423_c0_g1,92.79127138,23.08398068,3.984695311,5.7931608,6.91E-09,2.38E-06,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN1341961_c0_g1,96.14061108,-23.15112627,4.004279614,-5.781595819,7.40E-09,2.38E-06,PAGK,Phage-encoded virulence factor
TRINITY_DN1311643_c0_g1,194.0181129,22.79920366,4.014495511,5.679220116,1.35E-08,3.73E-06,Toxin_8,Alpha conotoxin precursor
TRINITY_DN1297092_c0_g1,92.83061799,10.3962893,3.557773967,2.922133164,0.003476429,0.83381334,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN533716_c0_g1,114.4977412,-9.971307654,3.453758945,-2.887088478,0.003888249,0.83381334,Toxin_22,Magi peptide toxin family
TRINITY_DN2076_c0_g1,108.9729892,-9.899955411,3.527309107,-2.806659442,0.005005813,0.935664183,PAGK,Phage-encoded virulence factor
TRINITY_DN21079_c0_g2,33.58621276,8.929176499,3.570640775,2.500721036,0.012394076,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN8227_c0_g1,476.4351542,9.028794975,3.645243983,2.476869866,0.013254022,0.935664183,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN26749_c0_g1,59.04899088,9.743517606,3.970391774,2.454044377,0.014125955,0.935664183,Toxin_15,ShET2 enterotoxin N-terminal region
TRINITY_DN682714_c0_g1,44.29861147,9.329555414,3.950023444,2.361898744,0.018181607,0.935664183,Bac_thur_toxin,Bacillus thuringiensis toxin
TRINITY_DN1324060_c0_g1,75.78569909,-9.375948921,3.996154429,-2.346242891,0.018963745,0.935664183,PAGK,Phage-encoded virulence factor
TRINITY_DN114327_c0_g1,39.92343997,9.179575623,3.948318958,2.324932641,0.020075562,0.935664183,AvrE_T3Es,AvrE-family Type-III effector proteins (T3Es)
TRINITY_DN1099747_c0_g1,40.77192227,9.209058524,3.962587775,2.324001144,0.020125433,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN172681_c0_g1,37.462406,9.087813248,3.947484456,2.302178349,0.021325116,0.935664183,Peptidase_M36,Fungalysin metallopeptidase (M36)
TRINITY_DN11298_c0_g1,17.80886539,8.0134956,3.495715943,2.292376077,0.021883951,0.935664183,Toxin_16,Janus-atracotoxin
TRINITY_DN166458_c0_g1,33.39079841,8.920844134,3.960467125,2.252472714,0.024292415,0.935664183,PrsW-protease,PrsW family intramembrane metalloprotease
TRINITY_DN1335698_c0_g1,32.26688984,8.872502437,3.946220029,2.248354722,0.02455358,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN2642_c1_g3,57.44307103,7.216304666,3.224494283,2.237964788,0.025223351,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN924584_c0_g1,29.25895943,8.7313837,3.945978916,2.212729436,0.026916305,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN24844_c2_g1,13.74780742,7.640335857,3.460877426,2.207629718,0.027270096,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN929082_c0_g1,45.88547158,-8.651994365,3.986245599,-2.170461942,0.029971869,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN74394_c0_g2,12.73402646,7.531574472,3.472155248,2.169135287,0.030072414,0.935664183,Zincin_2,Zincin-like metallopeptidase
TRINITY_DN681044_c0_g1,25.30671038,8.520755426,3.96076691,2.151289288,0.031453373,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN30866_c0_g1,19.40819585,-7.410870215,3.464643241,-2.138999516,0.032435708,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN1369374_c0_g1,24.25226411,8.459326467,3.961210556,2.135540726,0.032716867,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN1102074_c0_g1,23.90078202,8.43825483,3.961389965,2.130124755,0.033161315,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN88021_c0_g1,23.90078202,8.43825483,3.961389965,2.130124755,0.033161315,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN53847_c0_g1,22.49485367,8.350748841,3.962289829,2.107556287,0.035069388,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN28695_c0_g1,21.79188949,8.304921446,3.962864288,2.095686565,0.036110004,0.935664183,Metallophos_2,Calcineurin-like phosphoesterase superfamily domain
TRINITY_DN936089_c0_g1,21.79188949,8.304921446,3.962864288,2.095686565,0.036110004,0.935664183,Metallophos_C,Iron/zinc purple acid phosphatase-like protein C
TRINITY_DN265795_c0_g1,10.03823153,7.187678745,3.482597652,2.063884337,0.039028684,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN36035_c0_g1,19.68299696,8.157999162,3.965216351,2.057390679,0.039648661,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN988447_c0_g1,19.68299696,8.157999162,3.965216351,2.057390679,0.039648661,0.935664183,Metallothio_PEC,Plant PEC family metallothionein
TRINITY_DN4475_c0_g3,9.843476532,7.160361764,3.506856821,2.041817539,0.041169634,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN23799_c0_g1,15.91090717,-7.124256638,3.491954004,-2.040192004,0.041331206,0.935664183,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN30001_c0_g1,30.35062769,-8.05582964,3.978467757,-2.02485734,0.042882015,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN43276_c0_g1,17.22262234,7.965235349,3.969592393,2.006562529,0.044796265,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN36847_c0_g1,8.905092045,7.013996916,3.506176119,2.00046908,0.045449635,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN103258_c0_g1,16.87114025,7.93546801,3.970410062,1.998652,0.04564602,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN137115_c0_g1,16.87114025,7.93546801,3.970410062,1.998652,0.04564602,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN33837_c0_g3,16.87114025,7.93546801,3.970410062,1.998652,0.04564602,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN1309481_c0_g1,16.51965816,7.905073683,3.971286423,1.990557427,0.046529565,0.935664183,Cu-oxidase_2,Multicopper oxidase
TRINITY_DN588111_c0_g1,14.26418878,-6.966657774,3.503254575,-1.988624471,0.046742668,0.935664183,Tox-WTIP,Toxin with a conserved tryptophan and TIP tripeptide motif
TRINITY_DN941175_c0_g1,16.16817607,7.874025298,3.972225807,1.982270314,0.047448995,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN8760_c0_g1,16.71311361,6.440702745,3.253271194,1.979762018,0.047730276,0.935664183,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN203256_c0_g1,15.81669399,7.842294053,3.973232947,1.973781592,0.048406583,0.935664183,ETX_MTX2,Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
TRINITY_DN489606_c0_g1,26.35234141,-7.852050846,3.978745308,-1.973499241,0.048438711,0.935664183,Cu-oxidase_2,Multicopper oxidase
TRINITY_DN104820_c1_g2,15.31310026,7.797812895,3.960468822,1.968911572,0.048963246,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN1331449_c0_g1,15.4652119,7.809849218,3.97431303,1.965081552,0.049404799,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN716269_c0_g1,15.4652119,7.809849218,3.97431303,1.965081552,0.049404799,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN86380_c1_g1,15.4652119,7.809849218,3.97431303,1.965081552,0.049404799,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN550537_c0_g1,15.03965204,7.771837703,3.961386198,1.961898516,0.049774301,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN96981_c0_g1,25.08015941,-7.780672383,3.979113403,-1.955378396,0.050538424,0.935664183,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN74394_c0_g3,8.906410746,7.016904112,3.59434596,1.952206101,0.05091374,0.935664183,Zincin_2,Zincin-like metallopeptidase
TRINITY_DN14748_c0_g3,12.6139844,-6.788925175,3.499049774,-1.940219664,0.052353,0.935664183,Aspzincin_M35,Lysine-specific metallo-endopeptidase
TRINITY_DN82118_c0_g1,14.21930739,7.690981575,3.96446521,1.939979585,0.052382171,0.935664183,Tox-GHH2,GHH signature containing HNH/Endo VII superfamily nuclease toxin 2
TRINITY_DN205457_c0_g1,14.41076563,7.707893365,3.978050761,1.937605583,0.052671361,0.935664183,Zincin_2,Zincin-like metallopeptidase
TRINITY_DN1285991_c0_g1,7.851305129,6.834279715,3.542022823,1.929484946,0.053670687,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN103195_c1_g1,14.05928354,7.672241235,3.979485569,1.927947998,0.053861595,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN23346_c0_g1,13.39896273,7.605323788,3.968112351,1.916609994,0.055287497,0.935664183,Zn_peptidase_2,Putative neutral zinc metallopeptidase
TRINITY_DN592059_c0_g1,13.35631937,7.59818032,3.982688034,1.907802031,0.056416808,0.935664183,SAT,Starter unit:ACP transacylase in aflatoxin biosynthesis
TRINITY_DN764775_c0_g1,8.709018345,6.980325636,3.662593132,1.905842496,0.056670644,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN104025_c0_g1,12.85206629,7.54525539,3.97091866,1.900128418,0.057416269,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN1347145_c0_g1,13.00483728,7.559673732,3.984475436,1.897282052,0.057790722,0.935664183,Metallothio_Euk,Eukaryotic metallothionein
TRINITY_DN1093261_c0_g1,7.421789171,6.753623955,3.571515704,1.890968573,0.05862854,0.935664183,Virul_fac_BrkB,Virulence factor BrkB
TRINITY_DN153672_c0_g1,12.65335519,7.520111226,3.986402009,1.886440758,0.059235585,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN166329_c0_g1,12.30516985,7.482576492,3.974075912,1.882846895,0.05972112,0.935664183,Peptidase_M35,Deuterolysin metalloprotease (M35) family
TRINITY_DN879190_c0_g1,20.35491199,-7.479531472,3.982437807,-1.878128883,0.060363536,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN12054_c2_g1,7.49850434,6.764411165,3.601803495,1.878062247,0.06037265,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN238332_c0_g1,12.3018731,7.479433255,3.988480713,1.875258724,0.060757139,0.935664183,DOPA_dioxygen,Dopa 45-dioxygenase family
TRINITY_DN21079_c1_g3,12.03172163,7.450185228,3.975802381,1.873882179,0.060946666,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN596588_c0_g1,12.03172163,7.450185228,3.975802381,1.873882179,0.060946666,0.935664183,Toxin_12,Ion channel inhibitory toxin
TRINITY_DN998143_c0_g1,11.75827341,7.417049229,3.977637321,1.864687157,0.062225268,0.935664183,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN1196825_c0_g1,11.95039101,7.437575628,3.990726078,1.863714894,0.062361753,0.935664183,AAA_21,AAA domain putative AbiEii toxin Type IV TA system
TRINITY_DN1118350_c0_g1,6.912920642,6.647680764,3.572898161,1.860585011,0.062802803,0.935664183,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN622372_c0_g1,6.834886773,6.631551722,3.567152055,1.859060567,0.063018554,0.935664183,Cu-oxidase_2,Multicopper oxidase
