row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN33757_c0_g1,122.5362133,-23.99535676,3.496714193,-6.862258519,6.78E-12,8.59E-09,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN50705_c0_g1,103.0418157,-23.85978725,3.489973282,-6.836667597,8.11E-12,8.59E-09,Peptidase_M36,Fungalysin metallopeptidase (M36)
TRINITY_DN66019_c0_g1,98.30746204,-23.79520984,3.488236208,-6.821559213,9.01E-12,8.59E-09,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN34856_c0_g1,88.56026326,-23.65148265,3.484540348,-6.787547361,1.14E-11,8.59E-09,Reprolysin_5,Metallo-peptidase family M12
TRINITY_DN3452_c0_g1,101.6705614,-10.44029468,2.898839406,-3.601542967,0.000316334,0.190622945,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN4014_c0_g1,766.3621148,-11.75150889,3.375445969,-3.481468523,0.000498672,0.250416651,Peptidase_M36,Fungalysin metallopeptidase (M36)
TRINITY_DN176971_c0_g1,59.91890272,9.034770258,3.11043375,2.90466571,0.003676455,0.979901061,Lactamase_B,Metallo-beta-lactamase superfamily
TRINITY_DN81164_c0_g1,57.19391946,8.96764003,3.108798629,2.884599841,0.003919115,0.979901061,Lactamase_B,Metallo-beta-lactamase superfamily
TRINITY_DN1614677_c0_g1,29.51332502,-8.656600626,3.084696297,-2.806305643,0.005011313,0.979901061,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN6474_c0_g1,22.93158222,-8.292025551,2.968479803,-2.793357578,0.005216399,0.979901061,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN47626_c0_g1,20.90068482,-8.157824067,2.973863508,-2.743173667,0.006084849,0.979901061,Toxin_17,Ergtoxin family
TRINITY_DN442969_c0_g1,41.91224251,8.519293771,3.136747968,2.715963749,0.006608315,0.979901061,PmbA_TldD_C,PmbA/TldA metallopeptidase C-terminal domain
TRINITY_DN468_c0_g1,19.94287178,-8.090582666,2.981469052,-2.71362289,0.006655188,0.979901061,Toxin_2,Scorpion short toxin BmKK2
TRINITY_DN4042_c0_g1,19.84788868,-8.082906342,2.987935745,-2.705180778,0.006826723,0.979901061,Reprolysin_2,Metallo-peptidase family M12B Reprolysin-like
TRINITY_DN5706_c0_g2,45.11560581,-9.268435657,3.468054154,-2.672517569,0.007528443,0.979901061,Peptidase_M36,Fungalysin metallopeptidase (M36)
TRINITY_DN35261_c9_g1,44.28013163,-9.241477742,3.467839818,-2.664909058,0.007700915,0.979901061,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN30676_c0_g1,34.58885,8.242345652,3.133486488,2.630407274,0.008528263,0.979901061,Peptidase_M36,Fungalysin metallopeptidase (M36)
TRINITY_DN40374_c0_g1,38.15332096,-9.026705106,3.466753493,-2.603792027,0.009219868,0.979901061,Lactamase_B,Metallo-beta-lactamase superfamily
TRINITY_DN6950_c0_g1,34.81142424,-8.894510987,3.466685716,-2.565710225,0.010296481,0.979901061,DOPA_dioxygen,Dopa 45-dioxygenase family
TRINITY_DN1251815_c0_g1,43.62236508,-6.929418511,2.702426639,-2.56414676,0.01034298,0.979901061,Ntox46,Bacterial toxin 46
TRINITY_DN104605_c3_g1,13.76165442,-7.555677483,3.031745077,-2.492187598,0.012695896,0.979901061,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN993549_c0_g1,47.51689561,8.700172342,3.492303225,2.491241963,0.01272974,0.979901061,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN167739_c0_g1,24.09151864,7.720839057,3.111847518,2.481110984,0.013097359,0.979901061,DOPA_dioxygen,Dopa 45-dioxygenase family
TRINITY_DN15099_c0_g1,25.67067563,7.812376157,3.162536302,2.470288216,0.013500423,0.979901061,Conotoxin,Conotoxin
