row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN1000069_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100053_c0_g1,2.950342673,3.620330812,3.464273017,1.045047776,0.296000889,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100074_c0_g2,0.442079167,-2.141993662,4.892778228,-0.437786787,0.66154085,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100103_c0_g1,1.022655872,3.649642183,4.842237568,0.753709857,0.451023462,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100103_c0_g2,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100167_c0_g1,1.989356252,-4.31136601,4.516441021,-0.95459367,0.339783219,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1002527_c0_g1,1.27831984,3.970683312,4.830821857,0.821947782,0.411106617,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1002663_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100344_c0_g1,7.019413175,0.514359622,2.696006737,0.190785733,0.848693467,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1004169_c0_g1,1.160786599,3.823700521,4.83573776,0.790717096,0.429109097,NA,Trehalose-phosphatase,Trehalose
TRINITY_DN1004561_c0_g1,0,NA,NA,NA,NA,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN1005102_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1005712_c0_g1,2.812303649,5.106789912,4.212980625,1.21215604,0.225452655,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1006238_c0_g1,0.67003289,-2.7407522,4.85635135,-0.564364479,0.572506108,NA,Universal stress protein family,Stress
TRINITY_DN100648_c0_g1,1.160786599,3.823700521,4.83573776,0.790717096,0.429109097,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1006757_c0_g1,2.330401981,-1.018596848,3.916689321,-0.260065776,0.794813037,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100691_c0_g1,4.329458858,0.506958918,3.161416568,0.160358152,0.872598953,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN100719_c1_g1,3.353057853,0.199625224,3.657185979,0.054584379,0.956469584,NA,Hsp70 protein,Heat shock protein
TRINITY_DN100719_c1_g2,2.43910644,4.899252088,3.850995552,1.272204037,0.203300634,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1009386_c0_g1,3.772556447,5.526342874,4.032083975,1.370592207,0.170502114,NA,Universal stress protein family,Stress
TRINITY_DN1009684_c0_g1,3.673361164,1.198591443,3.608356463,0.332171019,0.739760126,NA,Hsp70 protein,Heat shock protein
TRINITY_DN101164_c0_g1,0,NA,NA,NA,NA,NA,Hsp70 protein,Heat shock protein
TRINITY_DN10121_c1_g2,5.916336565,0.723540299,3.024207763,0.239249534,0.810912095,NA,ATP-dependent RNA helicase RhlB,RNA helicase
TRINITY_DN101211_c0_g1,8.556921191,-1.043709904,2.570260296,-0.406071675,0.684689937,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1014277_c0_g1,0,NA,NA,NA,NA,NA,Universal stress protein family,Stress
