row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN929082_c0_g1,55.04572622,-9.219915643,3.617355647,-2.548799881,0.010809431,0.922241767,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN98454_c0_g2,36.47744848,-8.626477067,3.615734566,-2.385815914,0.017041279,0.922241767,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN489606_c0_g1,31.48351208,-8.414088873,3.619287419,-2.324791567,0.020083108,0.922241767,Cu-oxidase_2,Multicopper oxidase
TRINITY_DN90163_c0_g1,28.44800137,-8.267564648,3.626562347,-2.279724945,0.022624007,0.922241767,Cu-oxidase_3,Multicopper oxidase
TRINITY_DN879190_c0_g1,24.31829898,-8.041575627,3.630210336,-2.215181734,0.026747593,0.922241767,Peptidase_M24,Metallopeptidase family M24
TRINITY_DN30866_c0_g1,23.1995726,-7.973683229,3.149815359,-2.531476395,0.011358346,0.922241767,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN39456_c0_g1,21.43423745,-7.859520064,3.164791647,-2.483424168,0.013012604,0.922241767,Zn_peptidase_2,Putative neutral zinc metallopeptidase
TRINITY_DN773311_c0_g1,20.46646265,-7.792644023,3.10197265,-2.512157553,0.01199955,0.922241767,Peptidase_M29,Thermophilic metalloprotease (M29)
TRINITY_DN26131_c0_g1,20.35304163,-7.784438141,3.645735213,-2.135217641,0.032743237,0.922241767,Clp_N,Clp amino terminal domain pathogenicity island component
TRINITY_DN23799_c0_g1,19.0175193,-7.686958683,3.185931089,-2.41278247,0.015831265,0.922241767,Hva1_TUDOR,Hypervirulence associated proteins TUDOR domain
TRINITY_DN32202_c0_g1,18.89010725,-7.677212401,3.648065482,-2.104461238,0.035338232,0.922241767,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN38671_c0_g1,18.38967582,-7.638418306,3.125246656,-2.444100945,0.014521363,0.922241767,Metallophos,Calcineurin-like phosphoesterase
TRINITY_DN212923_c0_g1,17.58734123,-7.574134235,3.654662066,-2.072458164,0.038222734,0.922241767,Toxin_29,PhTx neurotoxin family
TRINITY_DN588111_c0_g1,17.04921338,-7.529358367,3.201936849,-2.351501208,0.018697829,0.922241767,Tox-WTIP,Toxin with a conserved tryptophan and TIP tripeptide motif
